DATE;TIME_FROM;TIME_TO;IDAEP_GERMANY_VALUE_OP_[EUR/MWH];IDAEP_GERMANY_COMMENT;IDAEP_GERMANY_VALUE_QA_[EUR/MWH]
02.01.2021;04:00;04:15;34,010;;34,010
02.01.2021;04:15;04:30;39,100;;39,100
02.01.2021;04:30;04:45;30,530;;30,530
02.01.2021;04:45;05:00;19,880;;19,880
02.01.2021;05:00;05:15;41,530;;41,530
02.01.2021;05:15;05:30;41,450;;41,450
02.01.2021;05:30;05:45;41,420;;41,420
02.01.2021;05:45;06:00;47,000;;47,000
02.01.2021;06:00;06:15;49,650;;49,650
02.01.2021;06:15;06:30;43,400;;43,400
02.01.2021;06:30;06:45;40,330;;40,330
02.01.2021;06:45;07:00;40,930;;40,930
02.01.2021;07:00;07:15;38,490;;38,490
02.01.2021;07:15;07:30;43,660;;43,660
02.01.2021;07:30;07:45;40,460;;40,460
02.01.2021;07:45;08:00;39,920;;39,920
02.01.2021;08:00;08:15;37,620;;37,620
02.01.2021;08:15;08:30;37,790;;37,790
02.01.2021;08:30;08:45;33,450;;33,450
02.01.2021;08:45;09:00;27,950;;27,950
02.01.2021;09:00;09:15;32,280;;32,280
02.01.2021;09:15;09:30;42,380;;42,380
02.01.2021;09:30;09:45;50,830;;50,830
02.01.2021;09:45;10:00;58,240;;58,240
02.01.2021;10:00;10:15;49,400;;49,400
02.01.2021;10:15;10:30;61,910;;61,910
02.01.2021;10:30;10:45;59,650;;59,650
02.01.2021;10:45;11:00;61,750;;61,750
02.01.2021;11:00;11:15;45,920;;45,920
02.01.2021;11:15;11:30;58,370;;58,370
02.01.2021;11:30;11:45;59,900;;59,900
02.01.2021;11:45;12:00;60,400;;60,400
02.01.2021;12:00;12:15;62,370;;62,370
02.01.2021;12:15;12:30;58,870;;58,870
02.01.2021;12:30;12:45;57,150;;57,150
02.01.2021;12:45;13:00;55,060;;55,060
02.01.2021;13:00;13:15;57,330;;57,330
02.01.2021;13:15;13:30;59,050;;59,050
02.01.2021;13:30;13:45;54,950;;54,950
02.01.2021;13:45;14:00;61,490;;61,490
02.01.2021;14:00;14:15;64,240;;64,240
02.01.2021;14:15;14:30;70,860;;70,860
02.01.2021;14:30;14:45;71,010;;71,010
02.01.2021;14:45;15:00;67,290;;67,290
02.01.2021;15:00;15:15;53,060;;53,060
02.01.2021;15:15;15:30;50,920;;50,920
02.01.2021;15:30;15:45;54,730;;54,730
02.01.2021;15:45;16:00;52,370;;52,370
02.01.2021;16:00;16:15;35,380;;35,380
02.01.2021;16:15;16:30;49,670;;49,670
02.01.2021;16:30;16:45;52,120;;52,120
02.01.2021;16:45;17:00;58,810;;58,810
02.01.2021;17:00;17:15;49,780;;49,780
02.01.2021;17:15;17:30;59,490;;59,490
02.01.2021;17:30;17:45;63,460;;63,460
02.01.2021;17:45;18:00;63,710;;63,710
02.01.2021;18:00;18:15;68,520;;68,520
02.01.2021;18:15;18:30;60,140;;60,140
02.01.2021;18:30;18:45;57,620;;57,620
02.01.2021;18:45;19:00;49,160;;49,160
02.01.2021;19:00;19:15;63,990;;63,990
02.01.2021;19:15;19:30;51,910;;51,910
02.01.2021;19:30;19:45;53,160;;53,160
02.01.2021;19:45;20:00;39,070;;39,070
02.01.2021;20:00;20:15;61,960;;61,960
02.01.2021;20:15;20:30;57,460;;57,460
02.01.2021;20:30;20:45;53,080;;53,080
02.01.2021;20:45;21:00;36,910;;36,910
02.01.2021;21:00;21:15;57,430;;57,430
02.01.2021;21:15;21:30;53,850;;53,850
02.01.2021;21:30;21:45;45,760;;45,760
02.01.2021;21:45;22:00;32,430;;32,430
02.01.2021;22:00;22:15;56,800;;56,800
02.01.2021;22:15;22:30;41,280;;41,280
02.01.2021;22:30;22:45;40,360;;40,360
02.01.2021;22:45;23:00;31,960;;31,960
02.01.2021;23:00;23:15;30,510;;30,510
02.01.2021;23:15;23:30;36,170;;36,170
02.01.2021;23:30;23:45;24,060;;24,060
02.01.2021;23:45;00:00;23,280;;23,280
03.01.2021;00:00;00:15;42,000;;42,000
03.01.2021;00:15;00:30;36,430;;36,430
03.01.2021;00:30;00:45;30,180;;30,180
03.01.2021;00:45;01:00;27,730;;27,730
03.01.2021;01:00;01:15;18,820;;18,820
03.01.2021;01:15;01:30;26,570;;26,570
03.01.2021;01:30;01:45;44,550;;44,550
03.01.2021;01:45;02:00;31,760;;31,760
03.01.2021;02:00;02:15;36,260;;36,260
03.01.2021;02:15;02:30;32,580;;32,580
03.01.2021;02:30;02:45;25,960;;25,960
03.01.2021;02:45;03:00;21,710;;21,710
03.01.2021;03:00;03:15;29,290;;29,290
03.01.2021;03:15;03:30;32,910;;32,910
03.01.2021;03:30;03:45;21,550;;21,550
03.01.2021;03:45;04:00;21,580;;21,580
03.01.2021;04:00;04:15;34,760;;34,760
03.01.2021;04:15;04:30;37,050;;37,050
03.01.2021;04:30;04:45;27,410;;27,410
03.01.2021;04:45;05:00;4,190;;4,190
03.01.2021;05:00;05:15;42,290;;42,290
03.01.2021;05:15;05:30;30,710;;30,710
03.01.2021;05:30;05:45;5,180;;5,180
03.01.2021;05:45;06:00;-62,920;;-62,920
03.01.2021;06:00;06:15;15,040;;15,040
03.01.2021;06:15;06:30;15,570;;15,570
03.01.2021;06:30;06:45;-4,640;;-4,640
03.01.2021;06:45;07:00;-10,320;;-10,320
03.01.2021;07:00;07:15;32,350;;32,350
03.01.2021;07:15;07:30;29,140;;29,140
03.01.2021;07:30;07:45;31,800;;31,800
03.01.2021;07:45;08:00;32,670;;32,670
03.01.2021;08:00;08:15;50,170;;50,170
03.01.2021;08:15;08:30;47,000;;47,000
03.01.2021;08:30;08:45;50,770;;50,770
03.01.2021;08:45;09:00;56,860;;56,860
03.01.2021;09:00;09:15;38,960;;38,960
03.01.2021;09:15;09:30;37,040;;37,040
03.01.2021;09:30;09:45;38,160;;38,160
03.01.2021;09:45;10:00;38,360;;38,360
03.01.2021;10:00;10:15;39,390;;39,390
03.01.2021;10:15;10:30;46,630;;46,630
03.01.2021;10:30;10:45;42,140;;42,140
03.01.2021;10:45;11:00;47,110;;47,110
03.01.2021;11:00;11:15;38,120;;38,120
03.01.2021;11:15;11:30;47,710;;47,710
03.01.2021;11:30;11:45;48,050;;48,050
03.01.2021;11:45;12:00;56,140;;56,140
03.01.2021;12:00;12:15;55,880;;55,880
03.01.2021;12:15;12:30;55,730;;55,730
03.01.2021;12:30;12:45;59,740;;59,740
03.01.2021;12:45;13:00;53,280;;53,280
03.01.2021;13:00;13:15;50,380;;50,380
03.01.2021;13:15;13:30;47,880;;47,880
03.01.2021;13:30;13:45;45,250;;45,250
